movie_name,genre,cast,director,tags
Koi... Mil Gaya,"Action,Drama,Romance","Rekha, HrithikRoshan, PreityGZinta, RajatBedi",Rakesh Roshan,"A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.Action,Drama,Romance,Rakesh Roshan,Rekha, HrithikRoshan, PreityGZinta, RajatBedi"
Dil To Pagal Hai,"Comedy,Drama,Musical","ShahRukhKhan, MadhuriDixit, KarismaKapoor, AkshayKumar",Yash Chopra,"A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?Comedy,Drama,Musical,Yash Chopra,ShahRukhKhan, MadhuriDixit, KarismaKapoor, AkshayKumar"
Table No.21,"Adventure,Drama,Thriller","PareshRawal, RajeevKhandelwal, TinaDesai, DhruvGanesh",Aditya Datt,"A couple is drawn into a game show with a whooping winning prize. However the game turns into more than a survival for them with no escape.Adventure,Drama,Thriller,Aditya Datt,PareshRawal, RajeevKhandelwal, TinaDesai, DhruvGanesh"
Murder 3,"Drama,Mystery,Thriller","RandeepHooda, AditiRaoHydari, SaraLoren, RajeshShringarpure",Vishesh Bhatt,"A hot-shot fashion and wildlife photographer Vikram gets into a relationship with Nisha. She moves in with him in his palatial house outside of the city. The old world house, made decades ...                See full summary »Drama,Mystery,Thriller,Vishesh Bhatt,RandeepHooda, AditiRaoHydari, SaraLoren, RajeshShringarpure"
Taish,"Action,Thriller","HarshvardhanRane, JimSarbh, PulkitSamrat, KritiKharbanda",Bejoy Nambiar,"A story of friendship and loss of innocence when two worlds clash amid a wedding when a secret exposes a betrayal, and innocent friends converge with dangerous criminals and intense violence.Action,Thriller,Bejoy Nambiar,HarshvardhanRane, JimSarbh, PulkitSamrat, KritiKharbanda"
Secret Superstar,"Drama,Music","ZairaWasim, MeherVij, RajArjun, AamirKhan",Advait Chandan,"A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.Drama,Music,Advait Chandan,ZairaWasim, MeherVij, RajArjun, AamirKhan"
Dhaakad,"Action,Thriller","KanganaRanaut, ArjunRampal, DivyaDutta, SharibHashmi",Razneesh Ghai,"Agent Agni, a highly trained and deadly field agent is entrusted with the mission to gather Intel and eliminate Rudraveer, an international human and arms trafficker who has been off the radar for ten years.Action,Thriller,Razneesh Ghai,KanganaRanaut, ArjunRampal, DivyaDutta, SharibHashmi"
Sarkar,"Action,Crime,Drama","AmitabhBachchan, AbhishekBachchan, KayKayMenon, SupriyaPathak",Ram Gopal Varma,"Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.Action,Crime,Drama,Ram Gopal Varma,AmitabhBachchan, AbhishekBachchan, KayKayMenon, SupriyaPathak"
Chandu Champion,"Biography,Drama,Sport","ShraddhaKapoor, KatrinaKaif, KartikAaryan, BhuvanArora",Kabir Khan,"Based on the extraordinary real-life story of a sportsman and his spirit of never giving up.Biography,Drama,Sport,Kabir Khan,ShraddhaKapoor, KatrinaKaif, KartikAaryan, BhuvanArora"
Major,"Action,Biography,Drama","AdiviSesh, PrakashRaj, Revathi, SaieeManjrekar",Sashi Kiran Tikka,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.Action,Biography,Drama,Sashi Kiran Tikka,AdiviSesh, PrakashRaj, Revathi, SaieeManjrekar"
Doctor G,"Comedy,Drama","AyushmannKhurrana, RakulPreetSingh, ShefaliShah, SheebaChaddha",Anubhuti Kashyap,"Uday Gupta finds himself as the lone male resident in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates.Comedy,Drama,Anubhuti Kashyap,AyushmannKhurrana, RakulPreetSingh, ShefaliShah, SheebaChaddha"
Viceroy's House,"Biography,Drama,History","HughBonneville, GillianAnderson, ManishDayal, HumaQureshi",Gurinder Chadha,"The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.Biography,Drama,History,Gurinder Chadha,HughBonneville, GillianAnderson, ManishDayal, HumaQureshi"
M.S. Dhoni: The Untold Story,"Biography,Drama,Sport","SushantSinghRajput, KiaraAdvani, AnupamKher, DishaPatani","Mathur Goswami, Neeraj Pandey","The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.Biography,Drama,Sport,Mathur Goswami, Neeraj Pandey,SushantSinghRajput, KiaraAdvani, AnupamKher, DishaPatani"
Singham,"Action,Crime,Drama","AjayDevgn, PrakashRaj, SudhanshuPandey, KajalAggarwal",Rohit Shetty,"A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.Action,Crime,Drama,Rohit Shetty,AjayDevgn, PrakashRaj, SudhanshuPandey, KajalAggarwal"
Bhaag Milkha Bhaag,"Biography,Drama,Sport","FarhanAkhtar, DeepakSinghRawat, JaptejSingh, DivyaDutta",Rakeysh Omprakash Mehra,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.Biography,Drama,Sport,Rakeysh Omprakash Mehra,FarhanAkhtar, DeepakSinghRawat, JaptejSingh, DivyaDutta"
All Ladies Do It,"Drama,Thriller","SejalShah, VikasSachdeva, AjayBafna","Akhil Gautam, Akhil Gautam","A Handsome young man gets erotically involved with a Sultry seductive wife of an impotent man only to find himself tangles in a dangerous web of lies and cheatDrama,Thriller,Akhil Gautam, Akhil Gautam,SejalShah, VikasSachdeva, AjayBafna"
Bhavesh Joshi Superhero,"Action,Crime,Drama","HarshvardhanKapoor, PriyanshuPainyuli, AshishVerma, ShreiyahSabharwal",Vikramaditya Motwane,"The origin story of Bhavesh Joshi, an Indian superhero, who sets out to fulfill his slain friend's wish to clean and reform the country, by training himself to fight and wearing a mask.Action,Crime,Drama,Vikramaditya Motwane,HarshvardhanKapoor, PriyanshuPainyuli, AshishVerma, ShreiyahSabharwal"
Desi Boyz,"Comedy,Drama,Romance","AkshayKumar, JohnAbraham, DeepikaPadukone, ChitrangdaSingh",Rohit Dhawan,"Two friends lose their jobs, then part bitterly after they get exposed as male strippers.Comedy,Drama,Romance,Rohit Dhawan,AkshayKumar, JohnAbraham, DeepikaPadukone, ChitrangdaSingh"
Pataakha,"Action,Comedy,Drama","SanyaMalhotra, RadhikaMadan, SunilGrover, VijayRaaz",Vishal Bhardwaj,"Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.Action,Comedy,Drama,Vishal Bhardwaj,SanyaMalhotra, RadhikaMadan, SunilGrover, VijayRaaz"
7 Khoon Maaf,"Comedy,Drama,Mystery","PriyankaChopraJonas, VivaanShah, NeilNitinMukesh, JohnAbraham",Vishal Bhardwaj,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.Comedy,Drama,Mystery,Vishal Bhardwaj,PriyankaChopraJonas, VivaanShah, NeilNitinMukesh, JohnAbraham"
Angrezi Medium,"Comedy,Drama","IrrfanKhan, RadhikaMadan, KareenaKapoor, DeepakDobriyal",Homi Adajania,"When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true.Comedy,Drama,Homi Adajania,IrrfanKhan, RadhikaMadan, KareenaKapoor, DeepakDobriyal"
Janaki Jaane,"Drama,Family","SaijuKurup, Sharafudheen, JohnyAntony, AnarkaliMarikar",Aneesh Upasana,"Struggling with panic disorder, Janaki is ecstatic when Unni Mukundan proposes to marry her. Things go south when Janaki's fears land her in serious trouble.Drama,Family,Aneesh Upasana,SaijuKurup, Sharafudheen, JohnyAntony, AnarkaliMarikar"
Shahid,"Biography,Drama","RajkummarRao, PrabhleenSandhu, Mohd. ZeeshanAyyub, BaljinderKaur",Hansal Mehta,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.Biography,Drama,Hansal Mehta,RajkummarRao, PrabhleenSandhu, Mohd. ZeeshanAyyub, BaljinderKaur"
B.A. Pass,"Crime,Drama,Thriller","ShadabKamal, ShilpaShukla, RajeshSharma, DeeptiNaval",Ajay Bahl,"A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).Crime,Drama,Thriller,Ajay Bahl,ShadabKamal, ShilpaShukla, RajeshSharma, DeeptiNaval"
Radhe,"Action,Crime,Thriller","SalmanKhan, DishaPatani, RandeepHooda, JackieShroff",Prabhu Deva,"After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.Action,Crime,Thriller,Prabhu Deva,SalmanKhan, DishaPatani, RandeepHooda, JackieShroff"
Liger,"Action,Drama,Romance","MikeTyson, VijayDeverakonda, AnanyaPanday, RamyaKrishnan",Puri Jagannadh,"A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.Action,Drama,Romance,Puri Jagannadh,MikeTyson, VijayDeverakonda, AnanyaPanday, RamyaKrishnan"
Kamasutra 3D,"Drama,Romance","MohanKapur, MakrandDeshpande, AbhaPaul, SushmitaMukherjee",Rupesh Paul,"A young and beautiful Indian princess sets out on a voyage in search of her husband.Drama,Romance,Rupesh Paul,MohanKapur, MakrandDeshpande, AbhaPaul, SushmitaMukherjee"
Untitled Vikas Bahl/Jio Studios Project,"Horror,Thriller","AjayDevgn, Madhavan, JankiBodiwala, Jyotika",Vikas Bahl,"A timeless tale of battle between good and evil with a family embodying the forces of righteousness while a man symbolizes malevolence.Horror,Thriller,Vikas Bahl,AjayDevgn, Madhavan, JankiBodiwala, Jyotika"
Cocktail,"Comedy,Drama,Romance","SaifAliKhan, DeepikaPadukone, DianaPenty, DimpleKapadia",Homi Adajania,"A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.Comedy,Drama,Romance,Homi Adajania,SaifAliKhan, DeepikaPadukone, DianaPenty, DimpleKapadia"
Jewel Thief,"Crime,Drama,Musical","AshokKumar, DevAnand, Vyjayanthimala, TanujaSamarth",Vijay Anand,"A Police Commissioner's son comes under suspicion for being a jewel thief.Crime,Drama,Musical,Vijay Anand,AshokKumar, DevAnand, Vyjayanthimala, TanujaSamarth"
Deewana,"Action,Comedy,Drama","RishiKapoor, DivyaBharti, ShahRukhKhan, AlokNath",Raj Kanwar,"A singer (Rishi Kapoor) marries his biggest fan, but his uncle (Amrish Puri) plans to kill him in order to gain his money.Action,Comedy,Drama,Raj Kanwar,RishiKapoor, DivyaBharti, ShahRukhKhan, AlokNath"
Bhagam Bhag,"Comedy,Drama,Mystery","AkshayKumar, Govinda, PareshRawal, LaraDutta",Priyadarshan,"The members of a drama troupe fall in trouble when they are framed for a murder. Things go worse when they find their actress committing suicide, which is somehow linked with the murder.Comedy,Drama,Mystery,Priyadarshan,AkshayKumar, Govinda, PareshRawal, LaraDutta"
Newton,"Comedy,Drama","RajkummarRao, PankajTripathi, AnjaliPatil, RaghubirYadav",Amit Masurkar,"A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.Comedy,Drama,Amit Masurkar,RajkummarRao, PankajTripathi, AnjaliPatil, RaghubirYadav"
Made in China,"Comedy,Drama","RajkummarRao, BomanIrani, MouniRoy, PareshRawal",Mikhil Musale,"Story of Failed Gujarati Businessman, who jumps into unknown world of China to get once in a life time business idea, which will change his life.Comedy,Drama,Mikhil Musale,RajkummarRao, BomanIrani, MouniRoy, PareshRawal"
Kai po che!,"Drama,Sport","AmitSadh, SushantSinghRajput, RajkummarRao, AmritaPuri",Abhishek Kapoor,"Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.Drama,Sport,Abhishek Kapoor,AmitSadh, SushantSinghRajput, RajkummarRao, AmritaPuri"
Babumoshai Bandookbaaz,"Action,Comedy,Crime","NawazuddinSiddiqui, BiditaBag, JatinGoswami, ShraddhaDas",Kushan Nandy,"The movie, filled with humor and romance, is a quirky ride into the life and times of a small time contract killer, Babu, played by Nawazuddin Siddiqui. The film spins around his love, his friends, his rivalries and his revenge.Action,Comedy,Crime,Kushan Nandy,NawazuddinSiddiqui, BiditaBag, JatinGoswami, ShraddhaDas"
Humpty Sharma Ki Dulhania,"Comedy,Drama,Romance","VarunDhawan, AliaBhatt, AshutoshRana, SidharthShukla",Shashank Khaitan,"A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra, she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.Comedy,Drama,Romance,Shashank Khaitan,VarunDhawan, AliaBhatt, AshutoshRana, SidharthShukla"
Chatrapathi,"Action,Drama","SaiSrinivasBellamkonda, NushrrattBharuccha, KaranSinghChhabra, VedikaNawani",V.V. Vinayak,"Shivaji and his family are uprooted from their community in Sri Lanka and wind up as bonded labourers in Visakhapatnam. The situation worsens when his jealous stepbrother enters his life.Action,Drama,V.V. Vinayak,SaiSrinivasBellamkonda, NushrrattBharuccha, KaranSinghChhabra, VedikaNawani"
Kaminey,"Action,Crime,Drama","ShahidKapoor, PriyankaChopraJonas, DebMukherjee, ShivkumarSubramaniam",Vishal Bhardwaj,"The desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy.Action,Crime,Drama,Vishal Bhardwaj,ShahidKapoor, PriyankaChopraJonas, DebMukherjee, ShivkumarSubramaniam"
Karthik Calling Karthik,"Drama,Mystery,Romance","FarhanAkhtar, DeepikaPadukone, RamKapoor, ShefaliShah",Vijay Lalwani,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.Drama,Mystery,Romance,Vijay Lalwani,FarhanAkhtar, DeepikaPadukone, RamKapoor, ShefaliShah"
Ramayana: The Legend of Prince Rama,"Animation,Action,Adventure","ArunGovil, NikhilKapoor, EdieMirman, RaelPadamsee","Ram Mohan, Yûgô Sakô, Koichi Saski","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.Animation,Action,Adventure,Ram Mohan, Yûgô Sakô, Koichi Saski,ArunGovil, NikhilKapoor, EdieMirman, RaelPadamsee"
Trapped,"Drama,Thriller","RajkummarRao, GeetanjaliThapa, ShiladityaSen, RahulPatel",Vikramaditya Motwane,"A man struggles to survive after he unintentionally locks himself up in a high rise devoid of food, water and electricity.Drama,Thriller,Vikramaditya Motwane,RajkummarRao, GeetanjaliThapa, ShiladityaSen, RahulPatel"
Qarib Qarib Singlle,"Comedy,Romance","IrrfanKhan, ParvathyThiruvothu, NehaDhupia, IshaSharvani",Tanuja Chandra,"Yogi and Jaya, who have polar opposite personalities and sensibilities, meet via a online dating app. This encounter turns into so much more when the two travel to Rishikesh.Comedy,Romance,Tanuja Chandra,IrrfanKhan, ParvathyThiruvothu, NehaDhupia, IshaSharvani"
Baaghi 3,"Action,Adventure,Thriller","TigerShroff, RiteishDeshmukh, ShraddhaKapoor, AnkitaLokhande",Ahmed Khan,"A man embarks on a bloody rampage to save his kidnapped brother.Action,Adventure,Thriller,Ahmed Khan,TigerShroff, RiteishDeshmukh, ShraddhaKapoor, AnkitaLokhande"
Darbar,"Action,Crime,Thriller","Rajinikanth, Nayanthara, NivethaThomas, SunielShetty",A.R. Murugadoss,"A police officer is on a chase to hunt down a dreaded gangster to fulfill his own secret agenda.Action,Crime,Thriller,A.R. Murugadoss,Rajinikanth, Nayanthara, NivethaThomas, SunielShetty"
Bhool Bhulaiyaa 2,"Comedy,Drama,Horror","Tabu, KartikAaryan, KiaraAdvani, RajpalNaurangYadav",Anees Bazmee,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years.Comedy,Drama,Horror,Anees Bazmee,Tabu, KartikAaryan, KiaraAdvani, RajpalNaurangYadav"
Udta Punjab,"Action,Crime,Drama","ShahidKapoor, AliaBhatt, KareenaKapoor, DiljitDosanjh",Abhishek Chaubey,"A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.Action,Crime,Drama,Abhishek Chaubey,ShahidKapoor, AliaBhatt, KareenaKapoor, DiljitDosanjh"
Agra,Drama,"MohitAgarwal, PriyankaBose, VibhaChhibber, RahulRoy",Kanu Behl,"A family and an exploration of space in an increasingly crowded world. It follows the quest for a sexual odyssey of an individual.Drama,Kanu Behl,MohitAgarwal, PriyankaBose, VibhaChhibber, RahulRoy"
Notebook,"Drama,Romance","ZaheerIqbal, PranutanBahl, MirMohammedMehroos, MirMohammedZayan",Nitin Kakkar,"An ex-army officer, Kabir, becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook, left behind by the previous year's teacher Firdaus (Pranutan Bahl).Drama,Romance,Nitin Kakkar,ZaheerIqbal, PranutanBahl, MirMohammedMehroos, MirMohammedZayan"
Tara vs Bilal,"Comedy,Drama,Romance","SoniaRathee, HarshvardhanRane, ShammiAulakh, TariqChacha",Samar Iqbal,"Set in London, a romantic comedy where the leading character enter a fake marriage and later fall in love.Comedy,Drama,Romance,Samar Iqbal,SoniaRathee, HarshvardhanRane, ShammiAulakh, TariqChacha"
Matru Ki Bijlee Ka Mandola,"Comedy,Drama","PankajKapur, ImranKhan, AnushkaSharma, AryaBabbar",Vishal Bhardwaj,"Harry is an industrialist who loves his daughter Bijlee, and the bond they share with Harry's man friday, Matru. Bijlee's plan to wed the son of a politician, however, brings twists and turns in the lives of Matru, Bijlee and Mandola.Comedy,Drama,Vishal Bhardwaj,PankajKapur, ImranKhan, AnushkaSharma, AryaBabbar"
Garam Masala,"Comedy,Romance","AkshayKumar, JohnAbraham, PareshRawal, RimiSen",Priyadarshan,"A rib tickling tale of two flirts who constantly flirt with women despite one of them being engaged. Chaos ensues when the fiancé finds out that her to-be groom is cheating on her.Comedy,Romance,Priyadarshan,AkshayKumar, JohnAbraham, PareshRawal, RimiSen"
Ek Villain Returns,"Action,Crime,Romance","JohnAbraham, DishaPatani, ArjunKapoor, TaraSutaria",Mohit Suri,"The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.Action,Crime,Romance,Mohit Suri,JohnAbraham, DishaPatani, ArjunKapoor, TaraSutaria"
Kambakkht Ishq,"Action,Comedy,Romance","SylvesterStallone, DeniseRichards, WhoopiGoldberg, AkshayKumar",Sabir Khan,"A romantic comedy about an Indian stuntman who takes Hollywood by storm but cannot find true love.Action,Comedy,Romance,Sabir Khan,SylvesterStallone, DeniseRichards, WhoopiGoldberg, AkshayKumar"
Metro.... In Dino,"Drama,Romance","KayKayMenon, AnupamKher, AliFazal, SaraAliKhan",Anurag Basu,"Follows stories of bittersweet relationships in a contemporary setting, exploring various aspects, hues, and moods of love.Drama,Romance,Anurag Basu,KayKayMenon, AnupamKher, AliFazal, SaraAliKhan"
Go Goa Gone,"Action,Adventure,Comedy","SaifAliKhan, KunalKemmu, VirDas, AnandTiwari","Krishna D.K., Raj Nidimoru","A group of friends, just looking to have a good time in a rave party on a remote island in Goa, find out that the island is infested with Zombies.Action,Adventure,Comedy,Krishna D.K., Raj Nidimoru,SaifAliKhan, KunalKemmu, VirDas, AnandTiwari"
Jo Jeeta Wohi Sikandar,"Comedy,Drama,Romance","AamirKhan, AyeshaJhulka, DeepakTijori, PoojaBedi",Mansoor Khan,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.Comedy,Drama,Romance,Mansoor Khan,AamirKhan, AyeshaJhulka, DeepakTijori, PoojaBedi"
Dhamaka,"Action,Crime,Drama","KartikAaryan, MrunalThakur, AmrutaSubhash, SohamMajumdar","Ram Madhvani, Heavenveer Singh Hayer","Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.Action,Crime,Drama,Ram Madhvani, Heavenveer Singh Hayer,KartikAaryan, MrunalThakur, AmrutaSubhash, SohamMajumdar"
Cobalt Blue,"Drama,Romance","NeelayMehendale, JoshiAnantvijay, PrateikPatilBabbar, LovishBhatia",Sachin Kundalkar,"When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.Drama,Romance,Sachin Kundalkar,NeelayMehendale, JoshiAnantvijay, PrateikPatilBabbar, LovishBhatia"
Manorama: Six Feet Under,"Crime,Drama,Mystery","AbhayDeol, GulPanag, RaimaSen, SarikaThakur",Navdeep Singh,"Manorama, wife of an irrigation minister, tasks Satyaveer to find if her husband is cheating. As Satyaveer starts investigating, he gets trapped in a web of lies and must uncover the entire truth.Crime,Drama,Mystery,Navdeep Singh,AbhayDeol, GulPanag, RaimaSen, SarikaThakur"
Antim: The Final Truth,"Action,Crime,Drama","SalmanKhan, AayushSharma, MahimaMakwana, MaheshManjrekar",Mahesh Manjrekar,"The cop played by Salman fights the land mafia in the film.Action,Crime,Drama,Mahesh Manjrekar,SalmanKhan, AayushSharma, MahimaMakwana, MaheshManjrekar"
Welcome Back,"Action,Comedy,Crime","JohnAbraham, AnilKapoor, NanaPatekar, PareshRawal",Anees Bazmee,"A pair of reformed gangsters try to find a husband for their newly discovered sister, but complications arise due to mistaken identities.Action,Comedy,Crime,Anees Bazmee,JohnAbraham, AnilKapoor, NanaPatekar, PareshRawal"
Good Newwz,"Comedy,Drama","AkshayKumar, KareenaKapoor, DiljitDosanjh, KiaraAdvani","Raj Mehta, Kulwinder Singh, Ranjeet Singh","Two couples with the same surname pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.Comedy,Drama,Raj Mehta, Kulwinder Singh, Ranjeet Singh,AkshayKumar, KareenaKapoor, DiljitDosanjh, KiaraAdvani"
New York,"Crime,Drama,Thriller","JohnAbraham, KatrinaKaif, NeilNitinMukesh, IrrfanKhan",Kabir Khan,"A contemporary story of 3 friends discovering a new world set against the larger than life New York City. But one day the world around them changed.Crime,Drama,Thriller,Kabir Khan,JohnAbraham, KatrinaKaif, NeilNitinMukesh, IrrfanKhan"
Hum,"Action,Comedy,Drama","AmitabhBachchan, Rajinikanth, Govinda, KimiKatkar",Mukul Anand,"A dockworker overthrows the tyranny of a cruel gangster but has to run away to make a new life for himself and his brothers. Fifteen years later, his past catches up with him as his old enemy resurfaces.Action,Comedy,Drama,Mukul Anand,AmitabhBachchan, Rajinikanth, Govinda, KimiKatkar"
Detective Byomkesh Bakshy!,"Action,Crime,Drama","SushantSinghRajput, AnandTiwari, NeerajKabi, DivyaMenon",Dibakar Banerjee,"Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.Action,Crime,Drama,Dibakar Banerjee,SushantSinghRajput, AnandTiwari, NeerajKabi, DivyaMenon"
Ram Setu,"Action,Adventure","AkshayKumar, JacquelineFernandez, NushrrattBharuccha, Nassar",Abhishek Sharma,"An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.Action,Adventure,Abhishek Sharma,AkshayKumar, JacquelineFernandez, NushrrattBharuccha, Nassar"
Devara,"Action,Drama,Thriller","N.T. RamaRaoJr., SaifAliKhan, JanhviKapoor, PrakashRaj",Koratala Siva,"Devara is an intensive tale about a man who struck fear in the minds of those who were naive to it.Action,Drama,Thriller,Koratala Siva,N.T. RamaRaoJr., SaifAliKhan, JanhviKapoor, PrakashRaj"
Life in a Metro,"Comedy,Drama,Musical","Dharmendra, IrrfanKhan, KonkonaSenSharma, KayKayMenon",Anurag Basu,"Six different stories, about nine people, each with different issues and problems, all occurring within one place: the METRO.Comedy,Drama,Musical,Anurag Basu,Dharmendra, IrrfanKhan, KonkonaSenSharma, KayKayMenon"
Aligarh,"Biography,Drama","ManojBajpayee, RajkummarRao, AshishVidyarthi, BalajiGauri",Hansal Mehta,"A gay, linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation.Biography,Drama,Hansal Mehta,ManojBajpayee, RajkummarRao, AshishVidyarthi, BalajiGauri"
Pink,"Crime,Drama,Thriller","AmitabhBachchan, TaapseePannu, KirtiKulhari, AndreaTariang",Aniruddha Roy Chowdhury,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.Crime,Drama,Thriller,Aniruddha Roy Chowdhury,AmitabhBachchan, TaapseePannu, KirtiKulhari, AndreaTariang"
Anek,"Action,Drama,Sport","AyushmannKhurrana, AndreaKevichüsa, ManojPahwa, KumudMishra",Anubhav Sinha,"A socio political, action thriller set against the geopolitical backdrop of Northeast India.Action,Drama,Sport,Anubhav Sinha,AyushmannKhurrana, AndreaKevichüsa, ManojPahwa, KumudMishra"
Befikre,"Comedy,Drama,Romance","RanveerSingh, VaaniKapoor, AyeshaRazaMishra, AkarshKhurana","Aditya Chopra, Raj Basu","It is a carefree love story of Dharam and Shyra, who find love in an engaging series of experiences. Doused in the spirit of Paris, it celebrates a sensual and free-spirited love.Comedy,Drama,Romance,Aditya Chopra, Raj Basu,RanveerSingh, VaaniKapoor, AyeshaRazaMishra, AkarshKhurana"
Sonu Ke Titu Ki Sweety,"Comedy,Romance","KartikAaryan, NushrrattBharuccha, SunnySingh, AlokNath",Luv Ranjan,"Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.Comedy,Romance,Luv Ranjan,KartikAaryan, NushrrattBharuccha, SunnySingh, AlokNath"
Baghban,"Drama,Romance","AmitabhBachchan, HemaMalini, SalmanKhan, MahimaChaudhry",Ravi Chopra,"An elderly couple wish their children to care for them in their old age. But their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others.Drama,Romance,Ravi Chopra,AmitabhBachchan, HemaMalini, SalmanKhan, MahimaChaudhry"
Kanjoos Makhichoos,"Comedy,Drama,Family","KunalKemmu, ShwetaTripathi, PiyushMishra, AlkaAmin",Vipul Mehta,"Jamnaprasad Pandey is infamous in the entire town as a miser whose family is fed up with his penny-pinching habits. However, little does the family know that these savings is to fulfill his father's wish of going on a char-dhaam yatra.Comedy,Drama,Family,Vipul Mehta,KunalKemmu, ShwetaTripathi, PiyushMishra, AlkaAmin"
Guide,"Drama,Musical,Romance","DevAnand, WaheedaRehman, LeelaChitnis, AnwarHussain",Vijay Anand,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.Drama,Musical,Romance,Vijay Anand,DevAnand, WaheedaRehman, LeelaChitnis, AnwarHussain"
Tubelight,"Drama,War","SalmanKhan, SohailKhan, OmPuri, Mohd. ZeeshanAyyub",Kabir Khan,"A story of two brothers set during the Sino-Indian war, 1962: the younger one who's at war at the borders and the elder who's at war with his own world.Drama,War,Kabir Khan,SalmanKhan, SohailKhan, OmPuri, Mohd. ZeeshanAyyub"
Anbe Sivam,"Adventure,Comedy,Drama","KamalHaasan, Madhavan, KiranRathod, Nassar",Sundar C.,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.Adventure,Comedy,Drama,Sundar C.,KamalHaasan, Madhavan, KiranRathod, Nassar"
