movie_name,genre,cast,director,tags
Haseena Maan Jaayegi,"Action,Comedy,Romance","SanjayDutt, Govinda, KarismaKapoor, PoojaBatra",David Dhawan,"Separated from their wealthy father and each other, two brothers (Sanjay Dutt, Govinda) try to win the hearts of their dream girls.Action,Comedy,Romance,David Dhawan,SanjayDutt, Govinda, KarismaKapoor, PoojaBatra"
404: Error Not Found,"Drama,Mystery,Thriller","RajvvirAroraa, ImaaduddinShah, NishikantKamat, RuchirRaj",Prawaal Raman,"A brilliant student starts hallucinating after moving into a room that was occupied by another who committed suicide.Drama,Mystery,Thriller,Prawaal Raman,RajvvirAroraa, ImaaduddinShah, NishikantKamat, RuchirRaj"
DJ Tillu,"Action,Comedy,Crime","NehaShetty, SidhuJonnalagadda, Pragathi, Brahmaji",Vimal Krishna,"A lazy young man spends his time chasing girls, until an incident changes his life forever.Action,Comedy,Crime,Vimal Krishna,NehaShetty, SidhuJonnalagadda, Pragathi, Brahmaji"
Genius,"Action,Thriller","UtkarshSharma, IshitaChauhan, MithunChakraborty, AyeshaJhulka",Anil Sharma,"An orphan, with a brilliant mind, joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death, he can't live in peace with his love. So, he hatches a genius plan.Action,Thriller,Anil Sharma,UtkarshSharma, IshitaChauhan, MithunChakraborty, AyeshaJhulka"
Suraj Pe Mangal Bhari,Comedy,"ManojBajpayee, KarishmaTanna, FatimaSanaShaikh, AbhishekBanerjee",Abhishek Sharma,"In the 1990s, a wedding detective has to perform background checks on prospective grooms. In the time before social media and mobile phones, everything has to be done in person.Comedy,Abhishek Sharma,ManojBajpayee, KarishmaTanna, FatimaSanaShaikh, AbhishekBanerjee"
Adi Shankaracharya,"Biography,Drama","SarvadamanBanerjee, M.V. NarayanaRao, ManjunathBhatt, LeelaNarayanaRao",G.V. Iyer,"The first Indian movie to be made in Sanskrit. The movie follows the life and times of Adi Shankaracharya - the founder of the non-duality (Advaita) school of Indian philosophy. The ...                See full summary »Biography,Drama,G.V. Iyer,SarvadamanBanerjee, M.V. NarayanaRao, ManjunathBhatt, LeelaNarayanaRao"
The Final Exit,Horror,"KunaalRoyKapur, MukeshHariawala, ElenaKazan, ReyhnaMalhotra",Dhwanil Mehta,"Caught in a surreal maze, a man tries to decode the mysterious hallucinations he's experiencing.Horror,Dhwanil Mehta,KunaalRoyKapur, MukeshHariawala, ElenaKazan, ReyhnaMalhotra"
Dec-24,"Horror,Thriller","AppuBadiger, RakeshBhoumik, JagadeeshaHGDoddi, RaviKRPete",Nagaraj 'MG' Gowda,"Finding Medicine for Breathing issues that newborn baby's facing in some parts of the state of karnataka due to some environmental problems.Horror,Thriller,Nagaraj 'MG' Gowda,AppuBadiger, RakeshBhoumik, JagadeeshaHGDoddi, RaviKRPete"
Dev Bhoomi,Drama,"VictorBanerjee, GeetanjaliThapa, UttaraBaokar, RajZutshi",Goran Paskaljevic,"After a long exile, Rahul returns to his village in the Himalayas. It causes commotion amongst the villagers, who have never forgiven him for his sins in the past.Drama,Goran Paskaljevic,VictorBanerjee, GeetanjaliThapa, UttaraBaokar, RajZutshi"
Bull,"Action,Drama","ShahidKapoor, ParthSiddhpura",Sangeeth Sivan,"Inspired by the real-life events of Brigadier Bulsara of Indian Army.Action,Drama,Sangeeth Sivan,ShahidKapoor, ParthSiddhpura"
Satellite Shankar,"Action,Drama","SoorajPancholi, AnilReji, SaurabhAgnihotri, MeghaAkash",Irfan Kamal,"The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.Action,Drama,Irfan Kamal,SoorajPancholi, AnilReji, SaurabhAgnihotri, MeghaAkash"
Baton Baton Mein,"Comedy,Romance","AmolPalekar, TinaAmbani, GovardhanAsrani, DavidAbraham",Basu Chatterjee,"Nancy and Tony meet regularly on their daily commute to work and gradually fall in love. But when Tony shows reluctance toward marriage, Nancy's mother starts looking for a groom for her daughter.Comedy,Romance,Basu Chatterjee,AmolPalekar, TinaAmbani, GovardhanAsrani, DavidAbraham"
Kidnap,"Action,Crime,Drama","SanjayDutt, ImranKhan, MinisshaLamba, VidyaMalvade",Sanjay Gadhvi,"A kidnapper has to settle a personal score with an influential businessman whose daughter he has kidnapped.Action,Crime,Drama,Sanjay Gadhvi,SanjayDutt, ImranKhan, MinisshaLamba, VidyaMalvade"
Talaash: The Hunt Begins...,"Action,Crime,Drama","RakheeGulzar, AkshayKumar, KareenaKapoor, PoojaBatra",Suneel Darshan,"#NAME?Action,Crime,Drama,Suneel Darshan,RakheeGulzar, AkshayKumar, KareenaKapoor, PoojaBatra"
Chittagong,"Action,Drama,War","ManojBajpayee, BarryJohn, DelzadHiwale, VegaTamotia",Bedabrata Pain,"School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.Action,Drama,War,Bedabrata Pain,ManojBajpayee, BarryJohn, DelzadHiwale, VegaTamotia"
Batti Gul Meter Chalu,Drama,"ShahidKapoor, ShraddhaKapoor, DivyenduSharma, YamiGautam",Shree Narayan Singh,"The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening.Drama,Shree Narayan Singh,ShahidKapoor, ShraddhaKapoor, DivyenduSharma, YamiGautam"
